iter	Passed	Remaining
402	9048	13404
403	9068	13378
404	9086	13349
405	9107	13324
406	9130	13302
407	9148	13274
408	9177	13261
409	9207	13250
410	9274	13290
411	9370	13372
412	9422	13392
413	9439	13361
414	9457	13331
415	9477	13304
416	9493	13272
417	9514	13247
418	9531	13216
419	9549	13187
420	9568	13159
421	9594	13141
422	9613	13113
423	9630	13083
424	9648	13054
425	9667	13025
426	9693	13008
427	9710	12977
428	9727	12947
429	9744	12916
430	9764	12890
431	9785	12866
432	9803	12837
433	9819	12806
434	9835	12774
435	9852	12744
436	9871	12718
437	9892	12692
438	9910	12664
439	9930	12638
440	9948	12610
441	9967	12583
442	9988	12559
443	10008	12533
444	10029	12508
445	10049	12483
446	10067	12454
447	10092	12435
448	10110	12407
449	10127	12378
450	10144	12348
451	10163	12322
452	10185	12298
453	10206	12274
454	10224	12247
455	10242	12219
456	10262	12193
457	10289	12176
458	10309	12151
459	10326	12122
460	10344	12094
461	10363	12068
462	10387	12047
463	10406	12021
464	10430	12001
465	10455	11981
466	10488	11971
467	10514	11952
468	10536	11929
469	10558	11906
470	10584	11888
471	10602	11859
472	10620	11832
473	10640	11807
474	10664	11787
475	10688	11766
476	10708	11740
477	10727	11714
478	10744	11686
479	10779	11677
480	10802	11655
481	10818	11626
482	10835	11598
483	10852	11569
484	10870	11543
485	10890	11517
486	10910	11492
487	10926	11463
488	10943	11435
489	10963	11411
490	10987	11390
491	11006	11364
492	11024	11337
493	11042	11310
494	11070	11294
495	11092	11271
496	11110	11244
497	11130	11220
498	11148	11193
499	11174	11174
500	11194	11149
501	11214	11125
502	11234	11100
503	11254	11076
504	11276	11052
505	11297	11029
506	11317	11004
507	11335	10978
508	11356	10955
509	11376	10930
510	11401	10910
511	11421	10886
512	11440	10860
513	11459	10835
514	11481	10812
515	11501	10787
516	11518	10761
517	11539	10737
518	11555	10709
519	11575	10685
520	11595	10660
521	11613	10634
522	11631	10608
523	11646	10579
524	11664	10553
525	11686	10531
526	11702	10503
527	11723	10479
528	11740	10453
529	11759	10428
